0x40ec7c, 43368, 7228, 6, 0, sendMTFValues, 0x40ceee, 1479734
0x409fde, 30170, 7, 4310, 0, fallbackSort, 0x409c33, 2547275
0x40a2cb, 17247, 1383, 12.4707, 991, fallbackSort, 0x409c33, 2547275
0x40cd45, 14381, 1033, 13.9216, 898, generateMTFValues, 0x40cb2c, 266623
0x4181dd, 13133, 1580, 8.31203, 571, BZ2_hbMakeCodeLengths, 0x417d54, 960949
0x40a18b, 7480, 327, 22.8746, 319, fallbackSort, 0x409c33, 2547275
0x41034b, 7376, 148, 49.8378, 7, sendMTFValues, 0x40ceee, 1479734
0x40ec59, 7376, 148, 49.8378, 7, sendMTFValues, 0x40ceee, 1479734
0x409550, 6821, 3933, 1.7343, 2022, fallbackSimpleSort, 0x4093f0, 424864
0x4097a7, 6684, 0, 1.7343, 18446744073709551615, fallbackQSort3, 0x4095ec, 1288846
0x409513, 6400, 1744, 3.66972, 1227, fallbackSimpleSort, 0x4093f0, 424864
0x417f0c, 6146, 0, 3.66972, 18446744073709551615, BZ2_hbMakeCodeLengths, 0x417d54, 960949
0x4097a7, 6069, 0, 3.66972, 18446744073709551615, fallbackQSort3, 0x4095ec, 1288846
0x417fea, 5893, 0, 3.66972, 18446744073709551615, BZ2_hbMakeCodeLengths, 0x417d54, 960949
0x409881, 5860, 0, 3.66972, 18446744073709551615, fallbackQSort3, 0x4095ec, 1288846
0x40567e, 5106, 0, 3.66972, 18446744073709551615, copy_input_until_stop, 0x40565c, 384560
0x40a098, 4622, 195, 23.7026, 183, fallbackSort, 0x409c33, 2547275
0x40a3e3, 4431, 4309, 1.02831, 147, fallbackSort, 0x409c33, 2547275
0x40cc08, 4310, 1, 4310, 0, generateMTFValues, 0x40cb2c, 266623
0x40a3e9, 4310, 1, 4310, 0, fallbackSort, 0x409c33, 2547275
0x409d70, 4310, 1, 4310, 0, fallbackSort, 0x409c33, 2547275
0x409cc2, 4310, 1, 4310, 0, fallbackSort, 0x409c33, 2547275
0x40964d, 4028, 1383, 2.91251, 436, fallbackQSort3, 0x4095ec, 1288846
0x40c95d, 3735, 2648, 1.4105, 1525, bsW, 0x40c94c, 130586
0x40a22e, 3431, 327, 10.4924, 309, fallbackSort, 0x409c33, 2547275
0x417e55, 3169, 1580, 2.0057, 1012, BZ2_hbMakeCodeLengths, 0x417d54, 960949
0x409881, 2893, 0, 2.0057, 18446744073709551615, fallbackQSort3, 0x4095ec, 1288846
